date,avg(avg(sog)),slow_count,fast_count
2016/04/13,6.695456495655315,173,477
2015/01/28,6.848497107102528,147,411
2015/01/11,6.395522814072941,137,419
2016/06/02,6.672543904469505,189,527
2015/04/17,7.524240171008841,133,468
2015/07/02,7.260629373137116,164,488
2016/07/28,6.757162144707032,187,490
2016/02/19,7.1371242471109175,144,450
2016/02/28,6.134593622601275,184,429
2016/08/11,6.668409694747288,160,465
2014/10/11,7.09342931187371,142,423
2014/10/26,6.657840846364409,162,429
2015/01/25,6.999004586972949,158,399
2016/07/25,6.43266799508734,208,481
2014/11/04,6.296752177972367,171,272
2015/09/17,7.282377058525438,167,455
2016/07/24,6.701417999476035,186,503
2014/10/21,6.752333285550364,138,455
2014/10/28,7.130548667617363,140,441
2014/12/23,6.8831930642098165,133,411
2014/12/05,7.290337026411132,129,440
2015/02/08,6.9469712142570685,129,412
2015/10/06,7.042022078661888,160,454
2016/04/22,6.788845207958351,186,480
2016/02/26,6.6266781801579,169,444
2016/05/26,6.537339747657283,174,502
2015/02/18,6.915066230128229,145,400
2016/03/18,6.879760504130763,176,455
2016/08/07,6.265797952860937,196,457
2015/01/27,7.27708929378447,144,426
2015/03/05,7.506815443599233,112,437
2015/06/29,7.7385694044639415,144,505
2015/06/19,7.619920498602869,138,477
2015/11/16,6.408878445886872,197,309
2015/03/07,7.398304140664809,124,475
2015/01/22,7.371273788545838,127,443
2015/04/26,6.9920394785490805,168,459
2016/02/15,6.36257818049764,160,459
2016/07/15,5.283680968268235,277,295
2016/08/09,5.971048275812944,201,448
2015/11/23,7.4876878281131445,139,467
2016/06/28,6.936898322508232,164,487
2014/10/07,7.044106408060044,134,415
2016/05/31,6.188677002003885,198,517
2016/07/02,6.777322078491495,166,504
2014/12/14,6.832588978907213,124,395
2015/01/16,7.756213310330611,104,438
2016/03/23,6.599756322966799,171,461
2015/02/15,7.006479945045287,160,416
2015/02/25,7.2505207131440805,116,413
2016/03/19,7.035379040346949,183,461
2015/01/18,7.3529036129944965,128,413
2015/04/05,7.280464326808779,145,427
2014/10/29,7.19853221323967,126,443
2015/04/21,7.110368323914435,152,464
2016/03/20,6.568427022515158,178,441
2014/12/10,6.501838607975956,130,391
2015/04/23,6.695639842186038,208,365
2015/11/20,7.351858506169442,135,475
2016/07/26,6.658806335825419,198,493
2015/10/07,7.234491185441311,144,460
2015/02/01,6.917814894247971,139,405
2016/03/27,6.252259193141353,176,428
2016/04/20,6.631933690330977,177,476
2016/07/20,6.673273144674995,200,484
2014/10/20,6.881460719745018,138,449
2016/04/01,6.69494451519461,161,481
2015/04/28,5.346803792775658,240,235
2015/10/15,5.93671438120002,230,285
2016/05/02,6.507592550465033,184,472
2016/02/06,6.7604333316986605,157,436
