date,slow_count,fast_count,avg(avg(sog))
2017/01/15,173,462,6.908223715596889
2017/01/16,182,458,6.55637162640779
2017/01/17,217,412,6.048309082584065
2017/01/18,192,464,6.3703473896976615
2017/01/19,174,510,7.063088583196142
2017/01/20,231,393,6.005607090107075
2017/01/25,222,395,6.1646208403718115
2017/01/26,175,497,6.673278343638515
2017/01/27,174,496,6.948616376170527
2017/01/28,178,477,6.882545887141496
2017/01/29,220,515,6.552754001063134
2017/01/30,181,483,6.766941084010519
2017/01/31,176,497,6.649198106756594
2017/02/01,164,494,6.959600497483712
2017/02/02,161,489,6.555137181278779
2017/02/03,158,515,6.813551956017723
2017/02/04,180,498,6.82991138415423
2017/02/05,166,487,6.975555385003783
2017/02/06,164,486,6.720356853565207
2017/02/07,168,480,6.959379120951939
2017/02/08,170,489,6.723970860454823
2017/02/09,172,503,6.781289952533444
2017/02/10,161,531,6.944063499527994
2017/02/11,176,506,6.571732433508574
2017/02/12,182,499,6.5584902566658805
2017/02/13,179,491,6.497954507572093
2017/02/14,181,518,6.836506551394696
2017/02/15,168,520,7.07744694678486
2017/02/16,168,520,6.836680612314995
2017/02/17,189,510,7.044293826149861
2017/02/18,186,515,7.016819979452178
2017/02/19,208,467,6.733466825804871
2017/02/20,180,494,6.738707926970604
2017/02/21,174,503,6.994560785288953
2017/02/22,161,515,7.0978552625815565
2017/02/23,151,509,6.6109637065148075
2017/02/24,139,566,7.369766285314038
2017/02/25,178,504,6.7446344279610555
2017/02/26,181,492,6.693451797295657
2017/02/27,189,502,6.522454814538756
2017/02/28,191,489,6.526542241624249
2017/03/01,180,508,6.708139183040801
2017/03/02,161,507,6.777676003443699
2017/03/03,172,501,6.470705741935977
2017/03/04,176,467,6.523622302827329
2017/03/05,177,464,6.336051246359463
2017/03/06,183,455,6.419739128748763
2017/03/07,179,441,6.276921346372935
2017/03/08,168,470,6.5576732805041535
2017/03/09,153,495,7.084114875924411
2017/03/10,165,513,7.221416630812823
2017/03/11,172,523,7.227182744411685
2017/03/12,189,484,6.729823524346449
2017/03/13,180,492,6.81893458462906
2017/03/14,161,515,6.887291393396309
2017/03/15,159,513,6.997415966869964
2017/03/16,198,413,6.487767345053972
2017/03/17,182,402,6.437631080192839
2017/03/18,144,527,7.264463490649935
2017/03/19,180,501,7.280168072446503
2017/03/20,157,511,7.166168499534834
2017/03/21,166,491,7.113263315033972
2017/03/22,187,477,7.161173864010418
2017/03/23,177,494,6.902860759720937
2017/03/24,166,527,7.238263409264748
2017/03/25,183,497,7.347048742053762
2017/03/26,193,491,7.1825093692056265
2017/03/27,179,525,7.210249593908549
2017/03/28,169,519,7.532739397793481
2017/03/29,168,512,7.082429197188451
2017/03/30,174,508,7.03908317332884
2017/03/31,186,519,6.892267804910277
2017/04/01,195,501,6.659118795659432
2017/04/02,185,493,6.903631026165269
2017/04/03,181,515,6.865284433809265
2017/04/04,186,537,6.79736338258928
2017/04/05,201,502,6.500241751005831
2017/04/06,179,513,6.887389852301643
2017/04/07,196,509,6.724860422466664
2017/04/08,212,485,6.8000429454182925
2017/04/09,209,511,6.787447535741409
2017/04/10,185,523,6.817485220819538
2017/04/11,167,531,7.112662070914528
2017/04/12,168,542,7.288862382242053
2017/04/13,168,533,7.0389874808450985
2017/04/14,157,537,7.232284960273519
2017/04/15,192,522,7.055521277006445
2017/04/16,186,506,6.984589182603934
2017/04/17,199,474,6.986970252133832
2017/04/18,183,522,6.9133076023219795
2017/04/19,195,477,6.497427808732678
2017/04/20,187,479,6.255666303495718
2017/04/21,193,481,6.259459683581991
2017/04/22,195,481,6.356711525028688
2017/04/23,199,501,6.576161859138153
2017/04/24,186,518,6.779368420375044
2017/04/25,181,519,6.849096835112772
2017/04/26,165,538,6.731116387934264
2017/04/27,189,501,6.594331628517679
2017/04/28,199,513,6.352354370216701
2017/04/29,190,494,6.4637246235636345
2017/04/30,183,499,6.695655197179697
2017/05/01,180,483,6.346939130461838
2017/05/02,227,482,6.223220912635667
2017/05/03,194,495,6.367921089652456
2017/05/04,180,491,6.70059229240699
2017/05/05,172,515,7.013753881702772
2017/05/06,172,540,6.982268072183846
2017/05/07,181,524,6.988665540458486
2017/05/08,179,510,6.661299733045052
2017/05/09,175,491,6.408960149414517
2017/05/10,167,506,6.829490963151082
2017/05/11,199,493,6.599742142940213
2017/05/12,186,502,6.59424397677443
2017/05/13,190,493,6.49965796152744
2017/05/14,191,491,6.482828847764999
2017/05/15,188,524,6.726222413762489
2017/05/16,191,493,6.634684065244244
2017/05/17,173,507,6.7803646293199735
2017/05/18,167,551,7.138685623277732
2017/05/19,166,530,7.050852050869111
2017/05/20,163,525,6.859338760487338
2017/05/21,191,504,6.56669366017827
2017/05/22,181,515,6.87041592572836
2017/05/23,180,528,7.1354072073331745
