,date,avg(avg(sog)),slow_count,fast_count
97,2015/11/16,6.408878445886872,197,309
349,2015/11/17,7.274912197561253,137,452
370,2015/11/18,6.768579811801463,162,429
304,2015/11/19,7.102336071090818,151,449
122,2015/11/20,7.351858506169442,135,475
368,2015/11/21,6.9491836878288415,147,446
360,2015/11/22,6.846462218907168,147,415
104,2015/11/23,7.487687828113144,139,467
145,2016/02/04,6.137244750987088,187,335
334,2016/02/05,6.931540815280631,138,466
134,2016/02/06,6.7604333316986605,157,436
44,2016/02/07,6.470049956375448,172,430
319,2016/02/08,6.3444748550438375,168,426
364,2016/02/09,6.676622339814119,147,445
5,2016/02/10,6.388097980183032,151,442
346,2016/02/11,6.547176321798485,152,445
241,2016/02/12,6.4678209577768255,165,456
146,2016/02/13,6.630730539400128,158,451
41,2016/02/14,6.390607326897444,171,437
101,2016/02/15,6.362578180497639,160,459
322,2016/02/16,6.64802465155586,163,447
49,2016/02/17,6.643493126019036,158,445
230,2016/02/18,6.718705185435032,158,426
71,2016/02/19,7.1371242471109175,144,450
172,2016/02/20,6.659211237941394,137,450
299,2016/02/21,6.476154097826269,156,429
180,2016/02/22,6.579977606060977,164,440
375,2016/02/23,6.536632740631447,173,457
28,2016/02/24,6.407352661069013,171,430
170,2016/02/25,6.787538792501152,160,455
88,2016/02/26,6.6266781801579,169,444
61,2016/02/27,6.275503259818504,175,438
72,2016/02/28,6.134593622601275,184,429
278,2016/02/29,6.598590534900513,183,451
63,2016/03/01,6.380806251513263,171,456
340,2016/03/02,6.502099788609412,157,465
310,2016/03/03,6.806441071806501,156,452
197,2016/03/04,6.829894702980655,143,461
11,2016/03/05,7.024015252927272,145,442
191,2016/03/06,6.7422927016674565,160,424
210,2016/03/07,6.74451583252279,161,434
371,2016/03/08,7.17535699612993,154,471
285,2016/03/09,6.509448118525668,169,450
20,2016/03/10,6.4870149140592375,167,452
135,2016/03/11,6.574030896372558,182,458
192,2016/03/12,6.523529547442533,186,424
361,2016/03/14,5.509788886495247,233,328
266,2016/03/15,6.572819528928558,189,468
253,2016/03/16,6.398681339708365,179,458
46,2016/03/17,6.641517192859063,175,461
91,2016/03/18,6.879760504130763,176,455
114,2016/03/19,7.035379040346949,183,461
119,2016/03/20,6.5684270225151575,178,441
60,2016/03/21,6.199772490878763,198,437
52,2016/03/22,6.782662289325542,183,449
111,2016/03/23,6.599756322966798,171,461
257,2016/03/24,6.690766515503465,178,462
259,2016/03/25,6.6760376077502,168,461
8,2016/03/26,6.570818488947125,170,471
